run_id,timestamp,model,workload,device,tps_mean,tps_p50,tps_p95,load_time_ms,ttft_ms_mean,ttft_ms_p95,wall_ms_mean,cold_tps,cold_ttft_ms,score,score_tps,score_load,score_ttft,score_batch
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,summarize,cpu,135.031,135.031,135.031,0.000,7.727,7.727,83.000,156.605,1236.193,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,code,cpu,139.130,139.130,139.130,0.000,7.225,7.225,3705.000,139.065,1094.464,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,assistant,cpu,140.111,140.111,140.111,0.000,6.875,6.875,1844.000,142.847,1092.507,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,summarize,gpu,570.548,570.548,570.548,0.000,2.876,2.876,21.000,430.163,1046.788,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,code,gpu,530.551,530.551,530.551,0.000,5.032,5.032,990.000,526.278,1046.292,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-0.6B-Q4_K_M,assistant,gpu,533.941,533.941,533.941,0.000,5.266,5.266,497.000,535.247,1036.345,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,summarize,cpu,31.591,31.591,31.591,0.000,34.515,34.515,352.000,30.645,3304.777,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,code,cpu,28.570,28.570,28.570,0.000,40.550,40.550,17985.000,29.050,2394.060,98.094,95.234,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,assistant,cpu,29.725,29.725,29.725,0.000,32.741,32.741,8658.000,30.484,2370.559,99.633,99.083,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,summarize,gpu,189.204,189.204,189.204,0.000,6.393,6.393,60.000,173.118,2058.426,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,code,gpu,180.630,180.630,180.630,0.000,8.499,8.499,2868.000,178.916,2036.599,100.000,100.000,100.000,100.000,0.000
20260516T224734,2026-05-16T22:47:34.592159500+00:00,Qwen3-4B-Q4_K_M,assistant,gpu,188.025,188.025,188.025,0.000,8.320,8.320,1385.000,188.051,2035.898,100.000,100.000,100.000,100.000,0.000
