run_id,timestamp,model,workload,device,tps_mean,tps_p50,tps_p95,load_time_ms,ttft_ms_mean,ttft_ms_p95,wall_ms_mean,cold_tps,cold_ttft_ms,score,score_tps,score_load,score_ttft,score_batch
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,summarize,cpu,86.059,86.059,86.059,0.000,13.488,13.488,131.000,85.075,1370.265,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,code,cpu,79.122,79.122,79.122,0.000,22.088,22.088,6518.000,78.922,677.705,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,assistant,cpu,81.566,81.566,81.566,0.000,70.213,70.213,3222.000,81.579,647.083,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,summarize,gpu,627.707,627.707,627.707,0.000,1.829,1.829,19.000,542.800,523.063,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,code,gpu,611.193,611.193,611.193,0.000,2.489,2.489,868.000,605.494,521.784,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-0.6B-Q4_K_M,assistant,gpu,620.997,620.997,620.997,0.000,2.449,2.449,431.000,624.001,519.115,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,summarize,cpu,24.267,24.267,24.267,0.000,44.353,44.353,458.000,24.256,2848.717,92.356,80.890,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,code,cpu,25.083,25.083,25.083,0.000,103.226,103.226,20548.000,23.346,1605.236,93.445,83.611,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,assistant,cpu,26.452,26.452,26.452,0.000,218.439,218.439,9914.000,25.103,1600.354,95.270,88.175,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,summarize,gpu,219.621,219.621,219.621,0.000,5.176,5.176,54.000,205.006,1049.360,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,code,gpu,199.038,199.038,199.038,0.000,5.817,5.817,2614.000,199.422,1030.209,100.000,100.000,100.000,100.000,0.000
20260517T004235,2026-05-17T00:42:35.090673077+00:00,Qwen3-4B-Q4_K_M,assistant,gpu,200.708,200.708,200.708,0.000,5.764,5.764,1302.000,201.309,1026.229,100.000,100.000,100.000,100.000,0.000
