run_id,timestamp,model,workload,device,tps_mean,tps_p50,tps_p95,load_time_ms,ttft_ms_mean,ttft_ms_p95,wall_ms_mean,cold_tps,cold_ttft_ms,score,score_tps,score_load,score_ttft,score_batch
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,summarize,cpu,106.242,106.242,106.242,0.000,10.162,10.162,106.000,109.014,1188.599,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,code,cpu,104.862,104.862,104.862,0.000,9.123,9.123,4901.000,102.885,1072.996,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,assistant,cpu,111.224,111.224,111.224,0.000,9.472,9.472,2316.000,106.959,1064.609,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,summarize,gpu,767.519,767.519,767.519,0.000,2.097,2.097,16.000,498.008,1033.336,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,code,gpu,683.321,683.321,683.321,0.000,4.949,4.949,765.000,681.027,1034.579,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-0.6B-Q4_K_M,assistant,gpu,684.342,684.342,684.342,0.000,5.046,5.046,386.000,678.198,1030.539,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,summarize,cpu,24.363,24.363,24.363,0.000,46.518,46.518,458.000,23.969,2850.637,92.483,81.209,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,code,cpu,21.462,21.462,21.462,0.000,46.745,46.745,23918.000,21.863,2266.490,88.616,71.541,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,assistant,cpu,21.522,21.522,21.522,0.000,45.550,45.550,11951.000,21.858,1731.013,88.696,71.739,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,summarize,gpu,338.409,338.409,338.409,0.000,3.910,3.910,34.000,277.154,1554.677,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,code,gpu,308.045,308.045,308.045,0.000,6.542,6.542,1682.000,308.842,1534.758,100.000,100.000,100.000,100.000,0.000
20260517T122142,2026-05-17T12:21:42.936280700+00:00,Qwen3-4B-Q4_K_M,assistant,gpu,310.237,310.237,310.237,0.000,7.056,7.056,841.000,309.444,1543.593,100.000,100.000,100.000,100.000,0.000
