run_id,timestamp,model,workload,device,tps_mean,tps_p50,tps_p95,load_time_ms,ttft_ms_mean,ttft_ms_p95,wall_ms_mean,cold_tps,cold_ttft_ms,score,score_tps,score_load,score_ttft,score_batch
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,summarize,cpu,156.919,156.919,156.919,0.000,7.643,7.643,72.000,160.831,1233.715,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,code,cpu,139.985,139.985,139.985,0.000,7.404,7.404,3682.000,137.511,1102.387,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,assistant,cpu,145.043,145.043,145.043,0.000,6.975,6.975,1782.000,139.689,1074.797,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,summarize,gpu,535.906,535.906,535.906,0.000,2.349,2.349,23.000,428.578,1036.377,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,code,gpu,536.617,536.617,536.617,0.000,5.076,5.076,979.000,527.039,1033.039,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-0.6B-Q4_K_M,assistant,gpu,548.979,548.979,548.979,0.000,5.401,5.401,484.000,543.079,1023.696,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,summarize,cpu,34.555,34.555,34.555,0.000,33.787,33.787,324.000,32.402,3324.239,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,code,cpu,28.690,28.690,28.690,0.000,36.539,36.539,17906.000,30.530,2437.956,98.253,95.632,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,assistant,cpu,31.289,31.289,31.289,0.000,32.007,32.007,8227.000,31.215,2335.589,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,summarize,gpu,202.869,202.869,202.869,0.000,6.238,6.238,57.000,183.036,2055.190,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,code,gpu,185.047,185.047,185.047,0.000,8.703,8.703,2801.000,186.106,2040.826,100.000,100.000,100.000,100.000,0.000
20260516T225708,2026-05-16T22:57:08.944645800+00:00,Qwen3-4B-Q4_K_M,assistant,gpu,188.363,188.363,188.363,0.000,8.405,8.405,1383.000,187.746,2036.042,100.000,100.000,100.000,100.000,0.000
